ip,dash1,user,timestamp,method,url,protocol,status,size,referrer,user_agent,is_anomaly
104.28.157.117,-,-,31/Oct/2024:12:56:07 +0000,GET,/tentang-kami,HTTP/1.1,200,8809,https://pedulirasa.sulthon.blue/register,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:12:56:08 +0000,GET,/tentang-kami,HTTP/1.1,200,8810,https://pedulirasa.sulthon.blue/tentang-kami,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:12:56:35 +0000,GET,/,HTTP/1.1,200,6221,https://pedulirasa.sulthon.blue/tentang-kami,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:15:39 +0000,GET,/ayo-berbagi,HTTP/1.1,302,0,https://pedulirasa.sulthon.blue/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:15:42 +0000,GET,/login,HTTP/1.1,200,5186,https://pedulirasa.sulthon.blue/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:15:48 +0000,GET,/,HTTP/1.1,200,6220,https://pedulirasa.sulthon.blue/tentang-kami,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:16:15 +0000,GET,/tentang-kami,HTTP/1.1,200,8809,https://pedulirasa.sulthon.blue/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:19:17 +0000,GET,/,HTTP/1.1,200,6221,https://pedulirasa.sulthon.blue/tentang-kami,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:19:21 +0000,GET,/,HTTP/1.1,200,6220,https://pedulirasa.sulthon.blue/tentang-kami,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:19:35 +0000,GET,/ayo-berbagi,HTTP/1.1,302,0,https://pedulirasa.sulthon.blue/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:19:35 +0000,GET,/login,HTTP/1.1,200,5224,https://pedulirasa.sulthon.blue/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:19:43 +0000,GET,/login/forgot,HTTP/1.1,404,24,https://pedulirasa.sulthon.blue/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:19:43 +0000,GET,/favicon.ico,HTTP/1.1,404,1238,https://pedulirasa.sulthon.blue/login/forgot,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:19:46 +0000,GET,/login,HTTP/1.1,200,5186,https://pedulirasa.sulthon.blue/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:19:57 +0000,GET,/,HTTP/1.1,200,6220,https://pedulirasa.sulthon.blue/tentang-kami,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:20:13 +0000,GET,/ayo-berbagi,HTTP/1.1,302,0,https://pedulirasa.sulthon.blue/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:20:14 +0000,GET,/login,HTTP/1.1,200,5186,https://pedulirasa.sulthon.blue/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:13:20:16 +0000,GET,/tentang-kami,HTTP/1.1,200,8810,https://pedulirasa.sulthon.blue/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
66.96.225.71,-,-,31/Oct/2024:13:30:25 +0000,GET,/,HTTP/1.1,200,6221,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:14:26:00 +0000,GET,/tentang-kami,HTTP/1.1,200,8809,https://pedulirasa.sulthon.blue/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:14:43:28 +0000,GET,/,HTTP/1.1,200,6221,https://pedulirasa.sulthon.blue/tentang-kami,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:14:37:28 +0000,GET,/tentang-kami,HTTP/1.1,200,8810,https://pedulirasa.sulthon.blue/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:14:37:29 +0000,GET,/,HTTP/1.1,200,6220,https://pedulirasa.sulthon.blue/tentang-kami,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:14:37:31 +0000,GET,/,HTTP/1.1,200,6220,https://pedulirasa.sulthon.blue/tentang-kami,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.28.157.117,-,-,31/Oct/2024:17:25:49 +0000,GET,/,HTTP/1.1,200,6221,https://pedulirasa.sulthon.blue/tentang-kami,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1
104.152.52.74,-,-,31/Oct/2024:23:32:51 +0000,GET,/,HTTP/1.1,200,35863,-,curl/7.61.1,1
3.140.208.146,-,-,01/Nov/2024:00:29:51 +0000,GET,/swiper-bundle.min.js,HTTP/1.1,404,40,-,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36",1
3.140.208.146,-,-,01/Nov/2024:00:30:25 +0000,GET,//cdn.js,HTTP/1.1,404,40,-,Mozilla/3.0 (compatible; NetPositive/2.1.1; BeOS),1
3.140.208.146,-,-,01/Nov/2024:00:31:11 +0000,GET,/script/utils.js,HTTP/1.1,200,737,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",1
3.140.208.146,-,-,01/Nov/2024:00:31:13 +0000,GET,//cdn.js,HTTP/1.1,404,40,-,"Mozilla/5.0 (Linux; Android 9; Redmi 4 Prime) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36",1
3.140.208.146,-,-,01/Nov/2024:00:31:35 +0000,GET,//cdn.js,HTTP/1.1,404,40,-,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-US) AppleWebKit/532.8 (KHTML, like Gecko) Chrome/4.0.302.2 Safari/532.8",1
3.140.208.146,-,-,01/Nov/2024:00:31:36 +0000,GET,/script/utils.js,HTTP/1.1,200,737,-,"Mozilla/5.0 (Linux; Android 11; LM-V500N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36",1
3.140.208.146,-,-,01/Nov/2024:00:32:10 +0000,GET,//cdn.js,HTTP/1.1,404,40,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0) Gecko/20100101 Firefox/9.0,1
3.140.208.146,-,-,01/Nov/2024:00:32:10 +0000,GET,/swiper-bundle.min.js,HTTP/1.1,404,40,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1",1
3.140.208.146,-,-,01/Nov/2024:00:26:23 +0000,GET,/,HTTP/1.1,200,7332,-,Vodafone/1.0/V802SE/SEJ001 Browser/SEMC-Browser/4.1,1
3.140.208.146,-,-,01/Nov/2024:00:29:11 +0000,GET,/swiper-bundle.min.js,HTTP/1.1,404,40,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1
3.140.208.146,-,-,01/Nov/2024:00:29:12 +0000,GET,/script/utils.js,HTTP/1.1,200,737,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36",1
3.140.208.146,-,-,01/Nov/2024:00:29:12 +0000,GET,//cdn.js,HTTP/1.1,404,40,-,Mozilla/5.0 (compatible; Googlebot/2.1;  http://www.google.com/bot.html),1
3.140.208.146,-,-,01/Nov/2024:00:29:51 +0000,GET,/script/utils.js,HTTP/1.1,200,737,-,"Mozilla/5.0 (Linux; Android 10; M2006C3LII) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36",1
3.140.208.146,-,-,01/Nov/2024:00:29:51 +0000,GET,//cdn.js,HTTP/1.1,404,40,-,"Mozilla/5.0 (OS/2; U; OS/2; en-US) AppleWebKit/533.3 (KHTML, like Gecko) QupZilla/1.3.1 Safari/533.3",1
3.140.208.146,-,-,01/Nov/2024:00:30:25 +0000,GET,/script/utils.js,HTTP/1.1,200,737,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36",1
3.140.208.146,-,-,01/Nov/2024:00:30:25 +0000,GET,/swiper-bundle.min.js,HTTP/1.1,404,40,-,"HTC_Dream Mozilla/5.0 (Linux; U; Android 1.5; en-ca; Build/CUPCAKE) AppleWebKit/528.5  (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1",1
3.140.208.146,-,-,01/Nov/2024:00:31:12 +0000,GET,/swiper-bundle.min.js,HTTP/1.1,404,40,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",1
3.140.208.146,-,-,01/Nov/2024:00:31:35 +0000,GET,/swiper-bundle.min.js,HTTP/1.1,404,40,-,"Mozilla/5.0 (Linux; Android 12; SM-G991B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36",1
