ip,dash1,user,timestamp,method,url,protocol,status,size,referrer,user_agent
10.90.118.69,-,-,27/Dec/2037:12:00:00 +0530,PUT,/usr/admin/developer,HTTP/1.0,304,5100,https://day.com/tagsfaq.jsp,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
69.163.76.130,-,-,27/Dec/2037:12:00:00 +0530,GET,/usr/register,HTTP/1.0,303,4950,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
109.61.94.206,-,-,27/Dec/2037:12:00:00 +0530,GET,/usr/admin/developer,HTTP/1.0,404,4972,https://day.com/tagsfaq.jsp,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
7.25.127.90,-,-,27/Dec/2037:12:00:00 +0530,POST,/usr/register,HTTP/1.0,200,5015,https://day.com/tagsfaq.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
97.177.144.184,-,-,27/Dec/2037:12:00:00 +0530,PUT,/usr,HTTP/1.0,502,5024,https://day.com/tagsfaq.jsp,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749"
68.51.192.133,-,-,27/Dec/2037:12:00:00 +0530,DELETE,/usr/register,HTTP/1.0,500,5022,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749"
78.209.162.253,-,-,27/Dec/2037:12:00:00 +0530,PUT,/usr/admin,HTTP/1.0,502,4933,https://day.com/tagsfaq.jsp,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36"
126.5.19.128,-,-,27/Dec/2037:12:00:00 +0530,GET,/usr/admin,HTTP/1.0,500,5140,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
208.71.71.112,-,-,27/Dec/2037:12:00:00 +0530,PUT,/usr/admin,HTTP/1.0,304,4963,https://day.com/tagsfaq.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
76.149.239.121,-,-,27/Dec/2037:12:00:00 +0530,PUT,/usr/admin/developer,HTTP/1.0,404,4974,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
121.239.13.94,-,-,27/Dec/2037:12:00:00 +0530,DELETE,/usr/register,HTTP/1.0,404,4894,https://day.com/tagsfaq.jsp,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
35.23.217.207,-,-,27/Dec/2037:12:00:00 +0530,PUT,/usr/admin,HTTP/1.0,304,5100,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
109.61.94.206,-,-,27/Dec/2037:12:00:00 +0530,DELETE,/usr,HTTP/1.0,403,4938,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
100.2.158.197,-,-,27/Dec/2037:12:00:00 +0530,PUT,/usr,HTTP/1.0,404,4969,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36"
86.170.40.124,-,-,27/Dec/2037:12:00:00 +0530,GET,/usr/admin,HTTP/1.0,304,4968,https://day.com/tagsfaq.jsp,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
104.45.166.242,-,-,27/Dec/2037:12:00:00 +0530,PUT,/usr,HTTP/1.0,502,5077,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
60.125.49.6,-,-,27/Dec/2037:12:00:00 +0530,GET,/usr/login,HTTP/1.0,404,5018,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
101.5.37.180,-,-,27/Dec/2037:12:00:00 +0530,GET,/usr/login,HTTP/1.0,403,4880,https://day.com/tagsfaq.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
